"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.830335834E2,6.505752500E1,2.545854000E1,1.951511654E1,1.248716116E0,1.775500031E2,1.600000024E0,1.039999962E1
1.840335834E2,6.505751333E1,2.545854333E1,1.971512145E1,1.251804471E0,1.843699951E2,1.600000024E0,1.010000038E1
1.850335834E2,6.505750000E1,2.545854667E1,2.021512700E1,1.271363854E0,1.868500061E2,1.600000024E0,1.019999981E1
1.860335834E2,6.505748667E1,2.545854333E1,2.031513183E1,1.248716116E0,1.826000061E2,1.500000000E0,1.000000000E1
1.870335834E2,6.505747500E1,2.545855000E1,2.061513710E1,1.255407453E0,1.564600067E2,1.500000000E0,1.030000019E1
1.880335834E2,6.505746500E1,2.545854667E1,2.051514063E1,1.255922198E0,1.911900024E2,1.600000024E0,1.010000038E1
1.890335834E2,6.505745333E1,2.545853667E1,2.021514408E1,1.267246127E0,1.873200073E2,1.500000000E0,1.019999981E1
1.900335834E2,6.505743833E1,2.545853000E1,2.011514919E1,1.281143665E0,2.056699982E2,1.500000000E0,1.019999981E1
1.910335834E2,6.505742500E1,2.545852167E1,2.011515348E1,1.283717275E0,1.889600067E2,1.600000024E0,1.010000038E1
1.920335834E2,6.505741333E1,2.545852667E1,1.991515856E1,1.256951690E0,1.939499969E2,1.600000024E0,1.010000038E1
1.930335834E2,6.505740333E1,2.545852833E1,1.951516264E1,1.253348589E0,1.934900055E2,1.600000024E0,1.000000000E1
1.940335834E2,6.505739167E1,2.545852500E1,1.911516682E1,1.234303832E0,1.906799927E2,1.600000024E0,1.010000038E1
1.950335834E2,6.505738167E1,2.545853000E1,1.841517126E1,1.199302793E0,1.902700043E2,1.600000024E0,1.030000019E1
1.960335834E2,6.505737167E1,2.545853333E1,1.831517551E1,1.196214437E0,1.943099976E2,1.600000024E0,1.019999981E1
1.970335834E2,6.505735833E1,2.545853000E1,1.821518034E1,1.189008355E0,1.901300049E2,1.600000024E0,1.030000019E1
1.980335834E2,6.505734500E1,2.545852500E1,1.811518499E1,1.215773940E0,2.045099945E2,1.600000024E0,1.010000038E1
1.990335834E2,6.505733333E1,2.545851833E1,1.791518880E1,1.205994129E0,1.947500000E2,1.600000024E0,9.500000000E0
2.000335834E2,6.505732000E1,2.545851167E1,1.751519327E1,1.189523101E0,1.876600037E2,1.600000024E0,9.600000381E0
2.010335834E2,6.505731000E1,2.545851000E1,1.711519698E1,1.182831645E0,1.961100006E2,1.600000024E0,9.800000191E0
2.020335834E2,6.505729833E1,2.545850833E1,1.661520134E1,1.179743290E0,1.902200012E2,1.500000000E0,9.800000191E0
