"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.864971738E1,-7.696390152E-3,-1.779900074E0,-1.261294127E0
3.865771343E1,3.568184376E-2,-1.608224392E0,-1.465306282E0
3.866570947E1,8.778476715E-2,-1.379317760E0,-1.389220238E0
3.867370489E1,1.442424059E-1,-1.140969276E0,-1.163890123E0
3.868170094E1,3.105194569E-1,-8.743314743E-1,-7.358428240E-1
3.868969613E1,6.378186345E-1,-8.934135437E-1,-4.099905491E-1
3.869769125E1,8.146797419E-1,-9.353876114E-1,-1.308269501E-1
3.870571768E1,8.971861601E-1,-8.353891373E-1,1.176724434E-1
3.871371341E1,9.077763557E-1,-7.444477081E-1,2.384579182E-1
3.872170922E1,8.729037642E-1,-5.669374466E-1,2.105669975E-1
3.872970549E1,7.498911023E-1,-2.235078812E-1,5.926227570E-2
3.873770030E1,5.493839979E-1,1.904287338E-1,3.157806396E-2
3.874569673E1,2.730715871E-1,7.370891571E-1,1.356945038E-1
3.875369146E1,1.734753847E-1,1.059044838E0,2.576227188E-1
3.876171835E1,1.624308825E-1,1.481845856E0,4.276952744E-1
3.876971347E1,-5.889058113E-3,1.884204865E0,5.771522522E-1
3.877770882E1,6.698369980E-4,2.164295197E0,6.711339951E-1
3.878570463E1,6.045055389E-2,2.427349091E0,7.605705261E-1
3.879370036E1,2.603673339E-1,2.546410561E0,6.856114864E-1
3.880169609E1,4.626175761E-1,2.622467041E0,4.451642036E-1
3.880969114E1,4.663758874E-1,2.742514610E0,4.360008240E-2
3.881771802E1,3.735179901E-1,2.873828888E0,-3.092939854E-1
3.882571368E1,2.568616867E-1,3.067629814E0,-5.790421963E-1
3.883370911E1,2.380857468E-1,3.198266983E0,-6.309130192E-1
3.884170492E1,3.763897419E-1,3.167483330E0,-5.804102421E-1
3.884969996E1,6.861523390E-1,2.813421249E0,-4.121575356E-1
3.885769607E1,1.004455447E0,2.408479691E0,-1.823112965E-1
3.886569212E1,1.123380303E0,1.962340355E0,3.022544384E-1
3.887371739E1,1.060788512E0,1.574736595E0,7.364237309E-1
3.888171374E1,7.958030105E-1,1.282620430E0,1.028356075E0
3.888970939E1,3.860586882E-1,1.118203163E0,1.482882500E0
3.889770490E1,4.858815670E-2,9.938211441E-1,1.855425358E0
3.890570094E1,-1.652218103E-1,6.899166107E-1,2.172852993E0
3.891369598E1,-1.956964731E-1,3.693428040E-1,2.435052633E0
3.892169202E1,-1.478346586E-1,6.298160553E-2,2.522239923E0
3.892971798E1,-3.934586048E-2,-3.437557220E-1,2.548860550E0
3.893771341E1,6.819248199E-2,-6.809911728E-1,2.343180418E0
3.894570907E1,1.513838768E-1,-9.390144348E-1,1.936541319E0
3.895370511E1,4.706907272E-2,-1.019380569E0,1.388592958E0
3.896170084E1,-7.012659311E-2,-1.070510864E0,8.370289803E-1
3.896969627E1,-1.744648814E-1,-1.048538208E0,2.488286495E-1
3.897769208E1,-2.683857679E-1,-9.092245102E-1,-2.015020847E-1
